Name,Count
Randy Blythe,3
Chester Bennington,2
Levi Benton,2
Mitch Lucker,2
Will Ramos,2
Landon Tewers,2
Alex Terrible,2
Brendon Urie,1
Davey Havoc,1
Ruki (the Gazette),1
Bruno Mars,1
Charlie Puth,1
Vince Neil,1
Corey Taylor,1
Dickie Allen,1
