Name,Count
Slipknot,5
Linkin Park,4
Lorna Shore,4
My Chemical Romance,3
Chelsea Grin,3
Pierce the Veil,3
Korn,2
Lamb of God,2
The Devil Wears Prada,2
Black Veil Brides,2
Sepultura,2
Meshuggah,2
Green Day,1
Mötley Crüe,1
Ratt,1
