Metric,Value
N_participants,18.0
Age_median,25.5
Age_q25,23.0
Age_q75,28.0
Age_min,18.0
Age_max,44.0
Experience_months_median,40.0
Experience_months_q25,36.0
Experience_months_q75,120.0
